model,task,k,rank,n,r_over_n,d_L,d_S,n_collected,reps,rho1,rho_top5,floor,excess
gemma-3-12b-it,summarization,0.05,2,640,0.0031,9120,9120,1200,3,0.734348,0.573046,0.049049,0.523997
gemma-3-12b-it,summarization,0.05,4,640,0.0063,9120,9120,1200,3,0.845618,0.524033,0.067251,0.456783
gemma-3-12b-it,summarization,0.05,8,640,0.0125,9120,9120,1200,3,0.902804,0.64703,0.133527,0.513503
gemma-3-12b-it,summarization,0.05,16,640,0.025,9120,9120,1200,3,0.940399,0.777246,0.238139,0.539106
gemma-3-12b-it,summarization,0.05,24,640,0.0375,9120,9120,1200,3,0.956355,0.841332,0.311638,0.529694
gemma-3-12b-it,summarization,0.05,32,640,0.05,9120,9120,1200,3,0.963212,0.877088,0.371734,0.505354
gemma-3-12b-it,summarization,0.05,48,640,0.075,9120,9120,1200,3,0.973741,0.911133,0.466827,0.444306
gemma-3-12b-it,summarization,0.05,64,640,0.1,9120,9120,1200,3,0.979978,0.930542,0.552765,0.377777
gemma-3-12b-it,summarization,0.05,96,640,0.15,9120,9120,1200,3,0.98695,0.954182,0.678864,0.275319
gemma-3-12b-it,summarization,0.05,128,640,0.2,9120,9120,1200,3,0.990425,0.968365,0.774567,0.193798
gemma-3-12b-it,persona,0.05,2,64,0.0312,9120,9120,1200,3,0.969877,0.637679,0.146036,0.491643
gemma-3-12b-it,persona,0.05,4,64,0.0625,9120,9120,1200,3,0.987095,0.87003,0.183694,0.686337
gemma-3-12b-it,persona,0.05,8,64,0.125,9120,9120,1200,3,0.991777,0.96287,0.412859,0.550011
gemma-3-12b-it,persona,0.05,16,64,0.25,9120,9120,1200,3,0.996252,0.990806,0.735084,0.255721
gemma-3-12b-it,persona,0.05,24,64,0.375,9120,9120,1200,3,0.999163,0.99728,0.913213,0.084067
gemma-3-12b-it,persona,0.05,32,64,0.5,9120,9120,1200,3,1.0,0.999945,0.994444,0.005501
gemma-3-12b-it,persona,0.05,48,64,0.75,9120,9120,1200,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,persona,0.05,64,64,1.0,9120,9120,1200,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,persona,0.05,96,64,1.5,9120,9120,1200,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,persona,0.05,128,64,2.0,9120,9120,1200,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,persona,0.05,2,128,0.0156,9120,9120,1200,3,0.929342,0.547312,0.103789,0.443523
gemma-3-12b-it,persona,0.05,4,128,0.0312,9120,9120,1200,3,0.985657,0.895369,0.155358,0.740012
gemma-3-12b-it,persona,0.05,8,128,0.0625,9120,9120,1200,3,0.989831,0.955958,0.291451,0.664507
gemma-3-12b-it,persona,0.05,16,128,0.125,9120,9120,1200,3,0.994242,0.982463,0.518336,0.464127
gemma-3-12b-it,persona,0.05,24,128,0.1875,9120,9120,1200,3,0.997163,0.990883,0.683333,0.30755
gemma-3-12b-it,persona,0.05,32,128,0.25,9120,9120,1200,3,0.998198,0.99465,0.792495,0.202155
gemma-3-12b-it,persona,0.05,48,128,0.375,9120,9120,1200,3,0.999392,0.998754,0.941348,0.057406
gemma-3-12b-it,persona,0.05,64,128,0.5,9120,9120,1200,3,1.0,0.999998,0.998821,0.001176
gemma-3-12b-it,persona,0.05,96,128,0.75,9120,9120,1200,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,persona,0.05,128,128,1.0,9120,9120,1200,3,1.0,1.0,1.0,0.0
gemma-3-12b-it,persona,0.05,2,256,0.0078,9120,9120,1200,3,0.961984,0.532281,0.072061,0.46022
gemma-3-12b-it,persona,0.05,4,256,0.0156,9120,9120,1200,3,0.986344,0.877508,0.106787,0.770721
gemma-3-12b-it,persona,0.05,8,256,0.0312,9120,9120,1200,3,0.991534,0.957601,0.211247,0.746354
gemma-3-12b-it,persona,0.05,16,256,0.0625,9120,9120,1200,3,0.993498,0.979785,0.373147,0.606638
gemma-3-12b-it,persona,0.05,24,256,0.0938,9120,9120,1200,3,0.995256,0.987163,0.484916,0.502247
