model,task,arm,N,pr_frac,entropy,gini,top1_share,cap0.01,cap0.02,cap0.03,cap0.05,cap0.07,cap0.1,cap0.15,cap0.2,cap0.3,cap0.5
Falcon3-10B-Instruct,persona,long,480,0.29136957993481954,0.8407976754394778,0.7141895757155032,0.01979107236133174,0.08521185666286454,0.15103689789334787,0.1974305782569948,0.2939099463960597,0.37813576518761,0.48257523528082763,0.6210337060052873,0.719287892724548,0.8604896423655909,0.9942228701029254
Falcon3-10B-Instruct,persona,single,480,0.26269570616901505,0.8245743507879696,0.7436130270158183,0.02042533928183917,0.08884756817176448,0.16132834588082653,0.21165593403280308,0.3204841398248777,0.41136582729263765,0.516277228772335,0.6597612706972528,0.7625516241276059,0.8999230897997001,0.9992924376400552
Falcon3-10B-Instruct,summarization,long,480,0.25321985050658075,0.8253896806242846,0.7423440257794232,0.02380040805009089,0.09587837883832628,0.17406216248812428,0.23021017145096542,0.3397777377222906,0.42664991319621487,0.5251800237628194,0.6587782566206876,0.7594665381572484,0.8895241212772645,0.9959813600146593
Falcon3-10B-Instruct,summarization,single,480,0.25204928626131917,0.814925824328993,0.7564319737029748,0.02153471963718625,0.09549590097564098,0.16971684581376853,0.2167943414892928,0.3213980092839206,0.4141847389170082,0.5257155069973978,0.6702038083484715,0.7786317802589613,0.9189354270273165,1.0
Falcon3-10B-Instruct,verse,long,480,0.2406804535414407,0.8162370308558055,0.7579198646865839,0.020750200836218327,0.09458905045709702,0.17575261981852267,0.23329956349411854,0.3553226878965996,0.44584297478665025,0.5495426527795935,0.6851987821493495,0.7824207851007863,0.9078101119209824,0.9982329603826868
Falcon3-10B-Instruct,verse,single,480,0.2247167409638707,0.7989607335174739,0.7799425829010833,0.028324960479831608,0.10717609275365393,0.18528416432375755,0.23983991028237484,0.35166618872394145,0.4468448705772634,0.5603880320799605,0.7110910560314577,0.8203755986363607,0.9433158442476546,1.0000000000000002
OLMo-2-1124-13B-DPO,bias,long,1600,0.22945175630637596,0.8481169781427589,0.7524377665245572,0.011349295883857819,0.10845278997055158,0.18516938645040457,0.24999621837567593,0.359195855920747,0.4483397347707122,0.5600349093801558,0.6881597679206629,0.7748387535883237,0.8897974952151914,0.994389030037778
OLMo-2-1124-13B-DPO,bias,single,1600,0.2502712473930474,0.8510135219918838,0.7439869643011507,0.007946775245617436,0.10011459065461562,0.17506786904400862,0.23918886337872203,0.3386734071060082,0.4213799558308127,0.5206510872165571,0.6509025346705243,0.7512802281764083,0.8930146900535263,0.9999984050418068
OLMo-2-1124-13B-DPO,persona,long,1600,0.21587833113985405,0.8410792798292851,0.7668512166607138,0.009055987758259885,0.11385342847988622,0.19927092571877,0.2689945356372191,0.38064215668886925,0.4719676885941918,0.5785367594704677,0.7091340108707471,0.7992363187980295,0.9068063825833932,0.9934422300124467
OLMo-2-1124-13B-DPO,persona,single,1600,0.23451037989693715,0.8426584574239276,0.7640024373258283,0.007619037457819076,0.09957307875471166,0.17457551102481267,0.23943042316254182,0.3526052526153438,0.4455058805752823,0.5576172092055037,0.6965695051684364,0.7933660355689989,0.9140741434690861,0.9997386052709958
OLMo-2-1124-13B-DPO,summarization,long,1600,0.17012704738822276,0.8163143622887787,0.8035295056056606,0.01876162116975113,0.14556650041631303,0.24056506602559583,0.3139349106822546,0.4318160922088054,0.5238787954981362,0.632254066796919,0.7600975333898994,0.8434170309238199,0.9425842197878042,1.0
OLMo-2-1124-13B-DPO,summarization,single,1600,0.2925190765133404,0.8685728880472211,0.7114656160874147,0.00625652103212203,0.08078897516378666,0.1476714255978929,0.20505354451554558,0.29885133493944765,0.37786440070050925,0.47851623847478114,0.6139218536303533,0.7180963455796526,0.8595877501233522,0.9898747707769584
OLMo-2-1124-13B-DPO,verse,long,1600,0.2619547231855574,0.8582279177087914,0.7344400515801366,0.007454062886625544,0.09374196671258427,0.1640017787981134,0.2246343845028794,0.32623772617386615,0.4110490666193412,0.5156707247580832,0.649732612956859,0.7496678122503216,0.8826884385340078,0.9926174438071401
OLMo-2-1124-13B-DPO,verse,single,1600,0.27148073875672,0.8596241886553633,0.728864452568686,0.007467960764638557,0.08776122185292441,0.15487896791011796,0.21515876953815113,0.31847559631604433,0.4014832089990565,0.5045760572201229,0.6341695926011672,0.7333489220506253,0.8775092335720746,0.997503477889862
Qwen1.5-32B-Chat,bias,long,2560,0.2841066233719959,0.8760459578495374,0.7113915839731999,0.005821134805092284,0.08865116723418937,0.15482260956680433,0.2132009615190253,0.3074864787272312,0.38755117912224707,0.48671499753028175,0.6167680939476629,0.7153856088171346,0.8539092347753171,0.9886285742311411
Qwen1.5-32B-Chat,bias,single,2560,0.2368738490381944,0.85417475180296,0.7581038048802025,0.008129827594383427,0.10189261353893875,0.1729006979991231,0.23870465152964043,0.3471787229098591,0.4352522309355662,0.542046679751514,0.6786271678057667,0.7792675570413874,0.9111222077257233,0.9999358962705565
Qwen1.5-32B-Chat,factual recall,long,2560,0.2576801700841904,0.8623556952900152,0.7421817217279769,0.004355369629322518,0.0919456778795799,0.16413444489724613,0.22689943473473903,0.3300729381299906,0.41630612998271904,0.5255070861210128,0.6588190840404425,0.7578525294034636,0.8894464208728042,0.998805306532847
Qwen1.5-32B-Chat,factual recall,single,2560,0.22638688423420308,0.8520709964238694,0.7611610132014679,0.007178379061568318,0.11389461048890477,0.1875651570807818,0.2525429979943302,0.35769027000384823,0.4429879793033912,0.5475833290980646,0.6800626066304407,0.7803973368305357,0.9138418522826472,0.9996248212917125
Qwen1.5-32B-Chat,persona,long,2560,0.25654028994357264,0.8648035997667533,0.7371737073098463,0.004894706443649773,0.09832514058064676,0.16837250829463735,0.22938556607741428,0.3313959172228743,0.4175334597036282,0.5209530910018723,0.6518138295005335,0.7502735102572307,0.8831153557882048,0.9952885533036199
Qwen1.5-32B-Chat,persona,single,2560,0.21896788324558508,0.845814549832857,0.7745766593292243,0.007911627317707125,0.11122427921169818,0.18882171695771915,0.2560205230894039,0.3681984870150689,0.4568657374624466,0.5666846701611649,0.7057332694963948,0.8052902443002482,0.9296545310159059,1.0
Qwen1.5-32B-Chat,summarization,long,2560,0.2093579921442319,0.8452657382716678,0.7737101803038469,0.007551642294115902,0.1213211519613689,0.20478222837749388,0.2759705615165449,0.384074624026966,0.47098030936977797,0.5757621003728606,0.7057162063506793,0.7980299108373969,0.918563202654613,1.0000000000000002
Qwen1.5-32B-Chat,summarization,single,2560,0.2201089357791947,0.8470620109533494,0.7706689550059442,0.007657387764089877,0.11433366938202386,0.18962817540820723,0.2555043258120809,0.36157078636134415,0.44987294666464284,0.557113962146641,0.6960736558179854,0.7976504133907353,0.9262620737934697,0.9999999999999999
Qwen1.5-32B-Chat,verse,long,2560,0.26448658124486735,0.8709649036234793,0.7204430928238066,0.005278694743405812,0.10500843996016192,0.17411584222389315,0.23022569888373104,0.32361833668360307,0.402495814162882,0.4973903762823333,0.6217914874225122,0.7210150148321016,0.8629687682595223,0.9924606643844309
Qwen1.5-32B-Chat,verse,single,2560,0.22999927533379894,0.8510068574877206,0.7612868074959509,0.007194026072906011,0.1130296191025298,0.18589690800710906,0.2511211087657354,0.35339490474221114,0.4381946271610928,0.541245591773317,0.6753259237815983,0.77684731070764,0.9162379483789314,1.0000000000000002
