model,task,group,part,value,control,excess
Qwen1.5-32B-Chat,verse,LF-only,B_capture_2nd,0.10149051872161767,0.10267857142857142,-0.0011880527069537544
Qwen1.5-32B-Chat,verse,LF-only,B_capture_1st,0.10323992817263518,0.10267857142857142,0.000561356744063754
Qwen1.5-32B-Chat,verse,ST-only,B_capture_2nd,0.08239851035946548,0.08214285714285714,0.00025565321660833695
Qwen1.5-32B-Chat,verse,ST-only,B_capture_1st,0.08188729637435505,0.08214285714285714,-0.0002555607685020972
Qwen1.5-32B-Chat,summarization,LF-only,A_contrast,-0.014496876439294227,-0.014319659690250695,-0.0001772167490435312
Qwen1.5-32B-Chat,summarization,ST-only,A_contrast,-0.05706578671234153,0.004206848988594382,-0.06127263570093591
Qwen1.5-32B-Chat,summarization,LF-only,B_capture_2nd,0.08929391198402614,0.09140625,-0.0021123380159738525
Qwen1.5-32B-Chat,summarization,LF-only,B_capture_1st,0.09339591913158074,0.09140625,0.0019896691315807458
Qwen1.5-32B-Chat,summarization,ST-only,B_capture_2nd,0.10943445772385424,0.08863636363636364,0.0207980940874906
Qwen1.5-32B-Chat,summarization,ST-only,B_capture_1st,0.1000076336503932,0.08863636363636364,0.011371270014029558
Qwen1.5-32B-Chat,bias,LF-only,A_contrast,0.05208564634043634,0.051283062008988016,0.0008025843314483222
Qwen1.5-32B-Chat,bias,ST-only,A_contrast,0.05775119925178632,0.05799108757669149,-0.0002398883249051728
Qwen1.5-32B-Chat,bias,LF-only,B_capture_2nd,0.09673117366809184,0.09666666666666666,6.450700142517085e-05
Qwen1.5-32B-Chat,bias,LF-only,B_capture_1st,0.09640796047945817,0.09666666666666666,-0.00025870618720849614
Qwen1.5-32B-Chat,bias,ST-only,B_capture_2nd,0.10097180163682776,0.1,0.0009718016368277516
Qwen1.5-32B-Chat,bias,ST-only,B_capture_1st,0.09980305451257475,0.1,-0.00019694548742525686
Qwen1.5-32B-Chat,factual recall,LF-only,A_contrast,-0.03460684695499337,-0.029318870420332415,-0.005287976534660958
Qwen1.5-32B-Chat,factual recall,ST-only,A_contrast,-0.035238209555662064,-0.0344473596545142,-0.0007908499011478679
Qwen1.5-32B-Chat,factual recall,LF-only,B_capture_2nd,0.09727703700587458,0.09655172413793103,0.0007253128679435422
Qwen1.5-32B-Chat,factual recall,LF-only,B_capture_1st,0.09811544861516049,0.09655172413793103,0.0015637244772294528
Qwen1.5-32B-Chat,factual recall,ST-only,B_capture_2nd,0.10436303487984734,0.1037037037037037,0.0006593311761436405
Qwen1.5-32B-Chat,factual recall,ST-only,B_capture_1st,0.10700203126503362,0.1037037037037037,0.0032983275613299168
Qwen1.5-32B-Chat,persona,LF-only,A_contrast,0.08563333876253373,0.08721225795505601,-0.001578919192522274
Qwen1.5-32B-Chat,persona,ST-only,A_contrast,0.14250215908512945,0.10139683214837698,0.041105326936752465
Qwen1.5-32B-Chat,persona,LF-only,B_capture_2nd,0.09878018921517924,0.1,-0.0012198107848207657
Qwen1.5-32B-Chat,persona,LF-only,B_capture_1st,0.10125077053628585,0.1,0.0012507705362858473
Qwen1.5-32B-Chat,persona,ST-only,B_capture_2nd,0.110817266754599,0.09310344827586207,0.01771381847873693
Qwen1.5-32B-Chat,persona,ST-only,B_capture_1st,0.09616484525131769,0.09310344827586207,0.003061396975455613
