model,task,margin,topk,arm,n_units,baseline,d_ablate,d_control,control_sd,excess
Qwen1.5-32B-Chat,summarization,long,0.1,long,256,1.0683939076960087,-0.5093581452965736,-0.450475653509299,0.05909444423568057,-0.058882491787274616
Qwen1.5-32B-Chat,summarization,long,0.1,single,256,1.0683939076960087,-0.2530241645872593,-0.27549636438488967,0.05060639438621447,0.022472199797630377
Qwen1.5-32B-Chat,summarization,long,0.2,long,512,1.0683939076960087,-0.7306277178227902,-0.7093422253926596,0.07822488440849097,-0.02128549243013067
Qwen1.5-32B-Chat,summarization,long,0.2,single,512,1.0683939076960087,-0.4750180862843991,-0.43885667050878213,0.023325233585818537,-0.03616141577561699
Qwen1.5-32B-Chat,summarization,long,0.3,long,768,1.0683939076960087,-0.8740853063762188,-0.9238532188038032,0.0227648213785377,0.04976791242758438
Qwen1.5-32B-Chat,summarization,long,0.3,single,768,1.0683939076960087,-0.6360330604016782,-0.5182982708017031,0.07184947559262882,-0.11773478959997508
Qwen1.5-32B-Chat,summarization,long,0.5,long,1280,1.0683939076960087,-1.0054304637014866,-1.0293562891582648,0.07077939948467267,0.023925825456778238
Qwen1.5-32B-Chat,summarization,long,0.5,single,1280,1.0683939076960087,-0.8397637881338597,-0.7070599518716335,0.05874035560387905,-0.13270383626222615
Qwen1.5-32B-Chat,bias,long,0.05,long,128,0.6171128347516059,-0.1729636989533901,-0.0730023302137851,0.0027768382754714696,-0.09996136873960498
Qwen1.5-32B-Chat,bias,long,0.05,single,128,0.6171128347516059,-0.02594777494668954,-0.025578156858682588,0.016110710558692964,-0.00036961808800695106
Qwen1.5-32B-Chat,bias,long,0.1,long,256,0.6171128347516059,-0.2616235472261905,-0.14667664865652716,0.0012293470521896044,-0.11494689856966336
Qwen1.5-32B-Chat,bias,long,0.1,single,256,0.6171128347516059,-0.07341702952980989,-0.08669214397668834,0.014606687550506944,0.013275114446878455
Qwen1.5-32B-Chat,bias,long,0.2,long,512,0.6171128347516059,-0.3485704123973846,-0.24064867869019504,0.0035944911323171663,-0.10792173370718958
Qwen1.5-32B-Chat,bias,long,0.2,single,512,0.6171128347516059,-0.14393887296319002,-0.17126030946771298,0.02204098642349013,0.027321436504522956
Qwen1.5-32B-Chat,bias,long,0.3,long,768,0.6171128347516059,-0.38051934093236917,-0.3243656029303868,0.0020529734435983733,-0.05615373800198237
Qwen1.5-32B-Chat,bias,long,0.3,single,768,0.6171128347516059,-0.2107650145888328,-0.23651453355948124,0.015355734616772336,0.02574951897064845
Qwen1.5-32B-Chat,bias,long,0.5,long,1280,0.6171128347516059,-0.43178918510675424,-0.3859852269291877,0.0032040281591377614,-0.04580395817756655
Qwen1.5-32B-Chat,bias,long,0.5,single,1280,0.6171128347516059,-0.31822777241468425,-0.3531140610575676,0.007184864455308536,0.034886288642883345
Qwen1.5-32B-Chat,factual recall,long,0.05,long,128,0.7547299327514339,-0.21704976123401143,-0.20403699095974545,0.048905975869693585,-0.013012770274265978
Qwen1.5-32B-Chat,factual recall,long,0.05,single,128,0.7547299327514339,-0.219390634359661,-0.23278091199087314,0.04815219997245181,0.013390277631212144
Qwen1.5-32B-Chat,factual recall,long,0.1,long,256,0.7547299327514339,-0.3698817319422233,-0.5337447141172258,0.10864894942520399,0.1638629821750025
Qwen1.5-32B-Chat,factual recall,long,0.1,single,256,0.7547299327514339,-0.3508891976507585,-0.4835448515127307,0.06217976507368385,0.1326556538619722
Qwen1.5-32B-Chat,factual recall,long,0.2,long,512,0.7547299327514339,-0.4989942787400651,-0.7402952062675467,0.06185629165869503,0.24130092752748167
Qwen1.5-32B-Chat,factual recall,long,0.2,single,512,0.7547299327514339,-0.8670404399872496,-0.8334584845648351,0.05899562450135016,-0.03358195542241449
Qwen1.5-32B-Chat,factual recall,long,0.3,long,768,0.7547299327514339,-0.5475550042650866,-0.9018749656564372,0.036179445296133615,0.3543199613913506
Qwen1.5-32B-Chat,factual recall,long,0.3,single,768,0.7547299327514339,-1.0917955497116054,-1.0504926298329036,0.04978200398997522,-0.04130291987870183
Qwen1.5-32B-Chat,factual recall,long,0.5,long,1280,0.7547299327514339,-0.5879775179735589,-0.929473622128838,0.07257626370162026,0.3414961041552791
Qwen1.5-32B-Chat,factual recall,long,0.5,single,1280,0.7547299327514339,-1.0218193553573656,-1.134028476099411,0.1299281012916528,0.11220912074204548
Qwen1.5-32B-Chat,persona,long,0.05,long,128,0.687586446851492,-0.051254115998744965,-0.09737952003876367,0.011020531552439384,0.046125404040018705
Qwen1.5-32B-Chat,persona,long,0.05,single,128,0.687586446851492,-0.039415566623210885,-0.08684911926587428,0.020385675903916527,0.0474335526426634
Qwen1.5-32B-Chat,persona,long,0.1,long,256,0.687586446851492,-0.11403000727295876,-0.2007917354504268,0.029403438204292188,0.08676172817746805
Qwen1.5-32B-Chat,persona,long,0.1,single,256,0.687586446851492,-0.14821653217077257,-0.11954368601242704,0.021285581732460646,-0.028672846158345533
Qwen1.5-32B-Chat,persona,long,0.2,long,512,0.687586446851492,-0.2544373758137226,-0.2816883869469166,0.0567349866901584,0.027251011133194003
Qwen1.5-32B-Chat,persona,long,0.2,single,512,0.687586446851492,-0.2606099344789982,-0.23447873666882516,0.011059462257344863,-0.026131197810173062
Qwen1.5-32B-Chat,persona,long,0.3,long,768,0.687586446851492,-0.32875189259648324,-0.38900611922144895,0.037259165537993785,0.06025422662496571
Qwen1.5-32B-Chat,persona,long,0.3,single,768,0.687586446851492,-0.2625023923814297,-0.2880392976105213,0.02698850676373815,0.025536905229091633
Qwen1.5-32B-Chat,persona,long,0.5,long,1280,0.687586446851492,-0.41590266153216365,-0.4817539257307848,0.042378238014810596,0.06585126419862114
Qwen1.5-32B-Chat,persona,long,0.5,single,1280,0.687586446851492,-0.349633414298296,-0.3633385049800078,0.03381551920971584,0.013705090681711829
OLMo-2-1124-13B-DPO,verse,long,0.05,long,80,0.23169051855802536,-0.026992453634738928,-0.13785521189371744,0.021285780530394288,0.11086275825897851
OLMo-2-1124-13B-DPO,verse,long,0.05,single,80,0.23169051855802536,-0.19144812524318694,-0.10513438334067664,0.026157118791281343,-0.0863137419025103
OLMo-2-1124-13B-DPO,verse,long,0.1,long,160,0.23169051855802536,-0.1068522348999977,-0.21644053806861244,0.04242702572957833,0.10958830316861473
OLMo-2-1124-13B-DPO,verse,long,0.1,single,160,0.23169051855802536,-0.28084147721529007,-0.17769340723752977,0.008070649042543098,-0.1031480699777603
OLMo-2-1124-13B-DPO,verse,long,0.2,long,320,0.23169051855802536,-0.17509697526693344,-0.4013789465030035,0.04912532805991847,0.22628197123607005
OLMo-2-1124-13B-DPO,verse,long,0.2,single,320,0.23169051855802536,-0.44441817700862885,-0.31959124803543093,0.058246261554569724,-0.12482692897319791
OLMo-2-1124-13B-DPO,verse,long,0.3,long,480,0.23169051855802536,-0.3344414606690407,-0.6527939245104789,0.07021478144483151,0.3183524638414382
OLMo-2-1124-13B-DPO,verse,long,0.3,single,480,0.23169051855802536,-0.5713032856583595,-0.39472239414850874,0.04814864629214952,-0.1765808915098508
OLMo-2-1124-13B-DPO,verse,long,0.5,long,800,0.23169051855802536,-0.8492498353123665,-1.0452097023526827,0.038315743124287295,0.1959598670403162
OLMo-2-1124-13B-DPO,verse,long,0.5,single,800,0.23169051855802536,-1.0561834678053856,-0.8182280903061231,0.09371116495054364,-0.23795537749926254
OLMo-2-1124-13B-DPO,summarization,long,0.05,long,80,0.5909761816263199,-0.09775979518890388,-0.09814060678084696,0.015231544675323916,0.00038081159194308656
OLMo-2-1124-13B-DPO,summarization,long,0.05,single,80,0.5909761816263199,-0.08603322803974156,-0.04020296285549807,0.010648996552210488,-0.04583026518424349
OLMo-2-1124-13B-DPO,summarization,long,0.1,long,160,0.5909761816263199,-0.19680883511900904,-0.18435742879907294,0.04752538533052252,-0.012451406319936104
OLMo-2-1124-13B-DPO,summarization,long,0.1,single,160,0.5909761816263199,-0.13029907420277598,-0.0971153241892656,0.041335449018141186,-0.03318375001351037
OLMo-2-1124-13B-DPO,summarization,long,0.2,long,320,0.5909761816263199,-0.36165458783507354,-0.3748581089079381,0.019945397724167327,0.013203521072864544
OLMo-2-1124-13B-DPO,summarization,long,0.2,single,320,0.5909761816263199,-0.32463956549763684,-0.2425525158643723,0.017857067440607867,-0.08208704963326455
OLMo-2-1124-13B-DPO,summarization,long,0.3,long,480,0.5909761816263199,-0.3548792064189911,-0.40106795479853957,0.08991124648429424,0.04618874837954845
OLMo-2-1124-13B-DPO,summarization,long,0.3,single,480,0.5909761816263199,-0.38679414168000226,-0.3942745839556059,0.02705715636249087,0.007480442275603627
OLMo-2-1124-13B-DPO,summarization,long,0.5,long,800,0.5909761816263199,-0.4658661380410195,-0.5594721645116807,0.018486430663587156,0.09360602647066119
OLMo-2-1124-13B-DPO,summarization,long,0.5,single,800,0.5909761816263199,-0.4747194021940232,-0.5987407763799032,0.07989155972085653,0.12402137418588
OLMo-2-1124-13B-DPO,bias,long,0.05,long,80,0.3209931552410126,-0.06098807305097581,0.015217488507429766,0.018276399569106982,-0.07620556155840558
OLMo-2-1124-13B-DPO,bias,long,0.05,single,80,0.3209931552410126,-0.016264775395393394,-0.01869818319876987,0.007445641964775126,0.002433407803376475
OLMo-2-1124-13B-DPO,bias,long,0.1,long,160,0.3209931552410126,-0.10825615972280503,0.011475796500841795,0.015295102197869816,-0.11973195622364682
OLMo-2-1124-13B-DPO,bias,long,0.1,single,160,0.3209931552410126,-0.0380686432123184,-0.002658479412396756,0.014243641847543231,-0.035410163799921644
OLMo-2-1124-13B-DPO,bias,long,0.2,long,320,0.3209931552410126,-0.137381911277771,-0.021815834442774462,0.025484724861820806,-0.11556607683499653
OLMo-2-1124-13B-DPO,bias,long,0.2,single,320,0.3209931552410126,-0.02249220311641692,0.020202104747295373,0.014427031703820514,-0.0426943078637123
OLMo-2-1124-13B-DPO,bias,long,0.3,long,480,0.3209931552410126,-0.11271910220384598,-0.015989165504773473,0.05946220656242596,-0.09672993669907251
OLMo-2-1124-13B-DPO,bias,long,0.3,single,480,0.3209931552410126,-0.014080104231834423,-0.01402819802363714,0.026207688358443167,-5.19062081972832e-05
OLMo-2-1124-13B-DPO,bias,long,0.5,long,800,0.3209931552410126,-0.12684435546398162,-0.06418334593375524,0.018696321952289527,-0.06266100953022638
OLMo-2-1124-13B-DPO,bias,long,0.5,single,800,0.3209931552410126,-0.06610183715820311,-0.06210811287164689,0.015086327935185702,-0.003993724286556227
OLMo-2-1124-13B-DPO,persona,long,0.05,long,80,0.7404301881790161,0.036501907557249136,-0.07249098246296241,0.006729495644981051,0.10899289002021155
OLMo-2-1124-13B-DPO,persona,long,0.05,single,80,0.7404301881790161,-0.06289531886577604,-0.08745746264855063,0.050927446594300776,0.02456214378277459
OLMo-2-1124-13B-DPO,persona,long,0.1,long,160,0.7404301881790161,-0.0014503359794616477,-0.18267738173405326,0.08051866083021397,0.18122704575459161
OLMo-2-1124-13B-DPO,persona,long,0.1,single,160,0.7404301881790161,-0.07465911805629721,-0.11284365331133199,0.04486821768100765,0.03818453525503478
OLMo-2-1124-13B-DPO,persona,long,0.2,long,320,0.7404301881790161,-0.15085336714982978,-0.2399961913625399,0.09236132883679912,0.08914282421271014
