model,localization,patch_site,N,topk,w_rf
gemma-3-12b-it,verse-long,o_proj_out,4,0.5,0.88
gemma-3-12b-it,verse-long,o_proj_out,4,1.0,0.76
gemma-3-12b-it,verse-long,o_proj_out,5,0.01,0.12
gemma-3-12b-it,verse-long,o_proj_out,5,0.03,0.02
gemma-3-12b-it,verse-long,o_proj_out,5,0.05,0.4
gemma-3-12b-it,verse-long,o_proj_out,5,0.07,0.7
gemma-3-12b-it,verse-long,o_proj_out,5,0.09,0.68
gemma-3-12b-it,verse-long,o_proj_out,5,0.1,0.5
gemma-3-12b-it,verse-long,o_proj_out,5,0.5,0.68
gemma-3-12b-it,verse-long,o_proj_out,5,1.0,0.8
gemma-3-12b-it,verse-long,o_proj_out,6,0.01,0.04
gemma-3-12b-it,verse-long,o_proj_out,6,0.03,0.06
gemma-3-12b-it,verse-long,o_proj_out,6,0.05,0.66
gemma-3-12b-it,verse-long,o_proj_out,6,0.07,0.76
gemma-3-12b-it,verse-long,o_proj_out,6,0.09,0.4
gemma-3-12b-it,verse-long,o_proj_out,6,0.1,0.26
gemma-3-12b-it,verse-long,o_proj_out,6,0.5,0.52
gemma-3-12b-it,verse-long,o_proj_out,6,1.0,0.32
gemma-3-12b-it,verse-long,o_proj_out,8,0.01,0.1
gemma-3-12b-it,verse-long,o_proj_out,8,0.03,0.18
gemma-3-12b-it,verse-long,o_proj_out,8,0.05,0.72
gemma-3-12b-it,verse-long,o_proj_out,8,0.07,0.64
gemma-3-12b-it,verse-long,o_proj_out,8,0.09,0.34
gemma-3-12b-it,verse-long,o_proj_out,8,0.1,0.12
gemma-3-12b-it,verse-long,o_proj_out,8,0.5,0.48
gemma-3-12b-it,verse-long,o_proj_out,8,1.0,0.1
gemma-3-12b-it,verse-long,o_proj_out,10,0.01,0.1
gemma-3-12b-it,verse-long,o_proj_out,10,0.03,0.28
gemma-3-12b-it,verse-long,o_proj_out,10,0.05,0.6
gemma-3-12b-it,verse-long,o_proj_out,10,0.07,0.4
gemma-3-12b-it,verse-long,o_proj_out,10,0.09,0.18
gemma-3-12b-it,verse-long,o_proj_out,10,0.1,0.04
gemma-3-12b-it,verse-long,o_proj_out,10,0.5,0.56
gemma-3-12b-it,verse-long,o_proj_out,10,1.0,0.04
gemma-3-12b-it,verse-long,o_proj_in,1,0.01,0.06
gemma-3-12b-it,verse-long,o_proj_in,1,0.03,0.12
gemma-3-12b-it,verse-long,o_proj_in,1,0.05,0.1
gemma-3-12b-it,verse-long,o_proj_in,1,0.07,0.06
gemma-3-12b-it,verse-long,o_proj_in,1,0.09,0.08
gemma-3-12b-it,verse-long,o_proj_in,1,0.1,0.06
gemma-3-12b-it,verse-long,o_proj_in,1,0.5,0.1
gemma-3-12b-it,verse-long,o_proj_in,1,1.0,0.1
gemma-3-12b-it,verse-long,o_proj_in,2,0.01,0.06
gemma-3-12b-it,verse-long,o_proj_in,2,0.03,0.06
gemma-3-12b-it,verse-long,o_proj_in,2,0.05,0.16
gemma-3-12b-it,verse-long,o_proj_in,2,0.07,0.36
gemma-3-12b-it,verse-long,o_proj_in,2,0.09,0.62
gemma-3-12b-it,verse-long,o_proj_in,2,0.1,0.68
gemma-3-12b-it,verse-long,o_proj_in,2,0.5,0.9
gemma-3-12b-it,verse-long,o_proj_in,2,1.0,0.2
gemma-3-12b-it,verse-long,o_proj_in,4,0.01,0.02
gemma-3-12b-it,verse-long,o_proj_in,4,0.03,0.86
gemma-3-12b-it,verse-long,o_proj_in,4,0.05,0.78
gemma-3-12b-it,verse-long,o_proj_in,4,0.07,0.86
gemma-3-12b-it,verse-long,o_proj_in,4,0.09,0.64
gemma-3-12b-it,verse-long,o_proj_in,4,0.1,0.58
gemma-3-12b-it,verse-long,o_proj_in,4,0.5,0.3
