model_id,task,method,ablation,eval_variant,steer_variant,rf_mode,topk,max_accuracy,best_steering_factor
Qwen1.5-14B-Chat,from_sycophancy-single_to_non-sycophantic,atp,steer,long,single,w_rf,0.09,0.02,10.0
Qwen1.5-14B-Chat,from_sycophancy-single_to_non-sycophantic,atp,steer,long,single,w_rf,0.1,0.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-single_to_non-sycophantic,atp,steer,long,single,w_rf,0.5,0.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-single_to_non-sycophantic,atp,steer,long,single,w_rf,1.0,0.0,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-single_to_non-sycophantic,atp,steer,long,single,w_rf,0.01,0.04,6.0
OLMo-2-1124-13B-DPO,from_sycophancy-single_to_non-sycophantic,atp,steer,long,single,w_rf,0.03,0.02,6.0
OLMo-2-1124-13B-DPO,from_sycophancy-single_to_non-sycophantic,atp,steer,long,single,w_rf,0.05,0.04,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-single_to_non-sycophantic,atp,steer,long,single,w_rf,0.07,0.1,5.0
OLMo-2-1124-13B-DPO,from_sycophancy-single_to_non-sycophantic,atp,steer,long,single,w_rf,0.09,0.16,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-single_to_non-sycophantic,atp,steer,long,single,w_rf,0.1,0.2,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-single_to_non-sycophantic,atp,steer,long,single,w_rf,0.5,0.52,4.0
OLMo-2-1124-13B-DPO,from_sycophancy-single_to_non-sycophantic,atp,steer,long,single,w_rf,1.0,0.2,2.0
vicuna-13b-v1.5,from_sycophancy-single_to_non-sycophantic,atp,steer,long,single,w_rf,0.01,0.22,5.0
vicuna-13b-v1.5,from_sycophancy-single_to_non-sycophantic,atp,steer,long,single,w_rf,0.03,0.06,10.0
vicuna-13b-v1.5,from_sycophancy-single_to_non-sycophantic,atp,steer,long,single,w_rf,0.05,0.0,10.0
vicuna-13b-v1.5,from_sycophancy-single_to_non-sycophantic,atp,steer,long,single,w_rf,0.07,0.02,2.0
vicuna-13b-v1.5,from_sycophancy-single_to_non-sycophantic,atp,steer,long,single,w_rf,0.09,0.0,10.0
vicuna-13b-v1.5,from_sycophancy-single_to_non-sycophantic,atp,steer,long,single,w_rf,0.1,0.02,1.0
