model,source,steer,topk,N,w,wo,task
gemma-3-12b-it,paragraph-single,paragraph-long,1.0,2,0.98,0.98,paragraph
gemma-3-12b-it,paragraph-single,paragraph-single,0.01,10,0.06,0.06,paragraph
gemma-3-12b-it,paragraph-single,paragraph-single,0.03,10,0.1,0.1,paragraph
gemma-3-12b-it,paragraph-single,paragraph-single,0.05,10,0.04,0.06,paragraph
gemma-3-12b-it,paragraph-single,paragraph-single,0.07,10,0.08,0.2,paragraph
gemma-3-12b-it,paragraph-single,paragraph-single,0.09,8,0.08,0.12,paragraph
gemma-3-12b-it,paragraph-single,paragraph-single,0.1,6,0.06,0.08,paragraph
gemma-3-12b-it,paragraph-single,paragraph-single,0.5,10,0.56,0.72,paragraph
gemma-3-12b-it,paragraph-single,paragraph-single,1.0,8,0.66,0.84,paragraph
gemma-3-12b-it,verse-long,verse-long,0.01,5,0.1,0.1,verse
gemma-3-12b-it,verse-long,verse-long,0.03,10,0.2,0.28,verse
gemma-3-12b-it,verse-long,verse-long,0.05,5,0.3,0.4,verse
gemma-3-12b-it,verse-long,verse-long,0.07,4,0.38,0.58,verse
gemma-3-12b-it,verse-long,verse-long,0.09,4,0.36,0.74,verse
gemma-3-12b-it,verse-long,verse-long,0.1,4,0.34,0.7,verse
gemma-3-12b-it,verse-long,verse-long,0.5,2,0.28,0.78,verse
gemma-3-12b-it,verse-long,verse-long,1.0,1,0.42,0.84,verse
gemma-3-12b-it,verse-long,verse-single,0.01,1,0.08,0.08,verse
gemma-3-12b-it,verse-long,verse-single,0.03,1,0.08,0.08,verse
gemma-3-12b-it,verse-long,verse-single,0.05,10,0.08,0.08,verse
gemma-3-12b-it,verse-long,verse-single,0.07,1,0.06,0.06,verse
gemma-3-12b-it,verse-long,verse-single,0.09,8,0.2,0.2,verse
gemma-3-12b-it,verse-long,verse-single,0.1,8,0.22,0.24,verse
gemma-3-12b-it,verse-long,verse-single,0.5,5,0.54,0.88,verse
gemma-3-12b-it,verse-long,verse-single,1.0,2,0.4,0.4,verse
gemma-3-12b-it,verse-single,verse-long,0.01,5,0.08,0.08,verse
gemma-3-12b-it,verse-single,verse-long,0.03,4,0.1,0.1,verse
gemma-3-12b-it,verse-single,verse-long,0.05,10,0.12,0.12,verse
gemma-3-12b-it,verse-single,verse-long,0.07,8,0.2,0.2,verse
gemma-3-12b-it,verse-single,verse-long,0.09,10,0.5,0.52,verse
gemma-3-12b-it,verse-single,verse-long,0.1,10,0.44,0.44,verse
gemma-3-12b-it,verse-single,verse-long,0.5,2,0.88,0.88,verse
gemma-3-12b-it,verse-single,verse-long,1.0,2,0.8,0.92,verse
gemma-3-12b-it,verse-single,verse-single,0.01,10,0.1,0.1,verse
gemma-3-12b-it,verse-single,verse-single,0.03,1,0.08,0.08,verse
gemma-3-12b-it,verse-single,verse-single,0.05,2,0.1,0.1,verse
gemma-3-12b-it,verse-single,verse-single,0.07,8,0.1,0.1,verse
gemma-3-12b-it,verse-single,verse-single,0.09,8,0.1,0.1,verse
gemma-3-12b-it,verse-single,verse-single,0.1,10,0.12,0.14,verse
gemma-3-12b-it,verse-single,verse-single,0.5,5,0.96,0.96,verse
gemma-3-12b-it,verse-single,verse-single,1.0,2,0.86,0.86,verse
